일시,DSR,DSR_DQF1
2020-03-01 09:00:00,117.0999985,1.0
2020-03-01 10:00:00,147.5,1.0
2020-03-01 11:00:00,187.3000031,1.0
2020-03-01 12:00:00,207.1999969,1.0
2020-03-01 13:00:00,214.5,1.0
2020-03-01 14:00:00,193.6000061,1.0
2020-03-01 15:00:00,216.0,1.0
2020-03-01 16:00:00,197.5,1.0
2020-03-01 17:00:00,160.1999969,1.0
2020-03-01 18:00:00,0.0,0.0
2020-03-01 19:00:00,0.0,0.0
2020-03-01 20:00:00,0.0,0.0
2020-03-01 21:00:00,0.0,0.0
2020-03-01 22:00:00,0.0,0.0
2020-03-01 23:00:00,0.0,0.0
2020-03-02 00:00:00,0.0,0.0
2020-03-02 01:00:00,0.0,0.0
2020-03-02 02:00:00,0.0,0.0
2020-03-02 03:00:00,0.0,0.0
2020-03-02 04:00:00,0.0,0.0
2020-03-02 05:00:00,0.0,0.0
2020-03-02 06:00:00,0.0,0.0
2020-03-02 07:00:00,0.0,0.0
2020-03-02 08:00:00,124.7000046,1.0
2020-03-02 09:00:00,377.3000183,1.0
2020-03-02 10:00:00,497.1000061,1.0
2020-03-02 11:00:00,585.7000122,1.0
2020-03-02 12:00:00,679.7999878,1.0
2020-03-02 13:00:00,751.0,1.0
2020-03-02 14:00:00,735.1000366,1.0
2020-03-02 15:00:00,652.1000366,1.0
2020-03-02 16:00:00,510.8000183,1.0
2020-03-02 17:00:00,324.3000183,1.0
2020-03-02 18:00:00,0.0,0.0
2020-03-02 19:00:00,0.0,0.0
2020-03-02 20:00:00,0.0,0.0
2020-03-02 21:00:00,0.0,0.0
2020-03-02 22:00:00,0.0,0.0
2020-03-02 23:00:00,0.0,0.0
2020-03-03 00:00:00,0.0,0.0
2020-03-03 01:00:00,0.0,0.0
2020-03-03 02:00:00,0.0,0.0
2020-03-03 03:00:00,0.0,0.0
2020-03-03 04:00:00,0.0,0.0
2020-03-03 05:00:00,0.0,0.0
2020-03-03 06:00:00,0.0,0.0
2020-03-03 07:00:00,0.0,0.0
2020-03-03 08:00:00,106.5999985,1.0
2020-03-03 09:00:00,289.3000183,1.0
2020-03-03 10:00:00,433.0,1.0
2020-03-03 11:00:00,460.5,1.0
2020-03-03 12:00:00,467.8000183,1.0
2020-03-03 13:00:00,274.0,1.0
2020-03-03 14:00:00,296.3000183,1.0
2020-03-03 15:00:00,172.1999969,1.0
2020-03-03 16:00:00,238.1999969,1.0
2020-03-03 17:00:00,128.0,1.0
2020-03-03 18:00:00,0.0,0.0
2020-03-03 19:00:00,0.0,0.0
2020-03-03 20:00:00,0.0,0.0
2020-03-03 21:00:00,0.0,0.0
2020-03-03 22:00:00,0.0,0.0
2020-03-03 23:00:00,0.0,0.0
2020-03-04 00:00:00,0.0,0.0
2020-03-04 01:00:00,0.0,0.0
2020-03-04 02:00:00,0.0,0.0
2020-03-04 03:00:00,0.0,0.0
2020-03-04 04:00:00,0.0,0.0
2020-03-04 05:00:00,0.0,0.0
2020-03-04 06:00:00,0.0,0.0
2020-03-04 07:00:00,0.0,0.0
2020-03-04 08:00:00,143.1000061,1.0
2020-03-04 09:00:00,231.1000061,1.0
2020-03-04 10:00:00,479.1000061,1.0
2020-03-04 11:00:00,525.9000244,1.0
2020-03-04 12:00:00,646.2999878,1.0
2020-03-04 13:00:00,386.8999939,1.0
2020-03-04 14:00:00,445.2000122,1.0
2020-03-04 15:00:00,411.6000061,1.0
2020-03-04 16:00:00,424.7000122,1.0
2020-03-04 17:00:00,264.5,1.0
2020-03-04 18:00:00,0.0,0.0
2020-03-04 19:00:00,0.0,0.0
2020-03-04 20:00:00,0.0,0.0
2020-03-04 21:00:00,0.0,0.0
2020-03-04 22:00:00,0.0,0.0
2020-03-04 23:00:00,0.0,0.0
2020-03-05 00:00:00,0.0,0.0
2020-03-05 01:00:00,0.0,0.0
2020-03-05 02:00:00,0.0,0.0
2020-03-05 03:00:00,0.0,0.0
2020-03-05 04:00:00,0.0,0.0
2020-03-05 05:00:00,0.0,0.0
2020-03-05 06:00:00,0.0,0.0
2020-03-05 07:00:00,0.0,0.0
2020-03-05 08:00:00,186.1000061,1.0
2020-03-05 09:00:00,302.3000183,1.0
2020-03-05 10:00:00,442.0,1.0
2020-03-05 11:00:00,473.1000061,1.0
2020-03-05 12:00:00,600.1000366,1.0
2020-03-05 13:00:00,733.5,1.0
2020-03-05 14:00:00,706.6000366,1.0
2020-03-05 15:00:00,598.0,1.0
2020-03-05 16:00:00,518.7999878,1.0
2020-03-05 17:00:00,325.3999939,1.0
2020-03-05 18:00:00,0.0,0.0
2020-03-05 19:00:00,0.0,0.0
2020-03-05 20:00:00,0.0,0.0
2020-03-05 21:00:00,0.0,0.0
2020-03-05 22:00:00,0.0,0.0
2020-03-05 23:00:00,0.0,0.0
2020-03-06 00:00:00,0.0,0.0
2020-03-06 01:00:00,0.0,0.0
2020-03-06 02:00:00,0.0,0.0
2020-03-06 03:00:00,0.0,0.0
2020-03-06 04:00:00,0.0,0.0
2020-03-06 05:00:00,0.0,0.0
2020-03-06 06:00:00,0.0,0.0
2020-03-06 07:00:00,0.0,0.0
2020-03-06 08:00:00,226.6999969,1.0
2020-03-06 09:00:00,434.2000122,1.0
2020-03-06 10:00:00,591.4000244,1.0
2020-03-06 11:00:00,700.1000366,1.0
2020-03-06 12:00:00,742.1000366,1.0
2020-03-06 13:00:00,445.7000122,1.0
2020-03-06 14:00:00,736.7000122,1.0
2020-03-06 15:00:00,660.5,1.0
2020-03-06 16:00:00,520.9000244,1.0
2020-03-06 17:00:00,330.0,1.0
2020-03-06 18:00:00,0.0,0.0
2020-03-06 19:00:00,0.0,0.0
2020-03-06 20:00:00,0.0,0.0
2020-03-06 21:00:00,0.0,0.0
2020-03-06 22:00:00,0.0,0.0
2020-03-06 23:00:00,0.0,0.0
2020-03-07 00:00:00,0.0,0.0
2020-03-07 01:00:00,0.0,0.0
2020-03-07 02:00:00,0.0,0.0
2020-03-07 03:00:00,0.0,0.0
2020-03-07 04:00:00,0.0,0.0
2020-03-07 05:00:00,0.0,0.0
2020-03-07 06:00:00,0.0,0.0
2020-03-07 07:00:00,0.0,0.0
2020-03-07 08:00:00,137.0,1.0
2020-03-07 09:00:00,240.4000092,1.0
2020-03-07 10:00:00,234.1999969,1.0
2020-03-07 11:00:00,155.3000031,1.0
2020-03-07 12:00:00,150.0,1.0
2020-03-07 13:00:00,78.80000305,1.0
2020-03-07 14:00:00,0.0,1.0
2020-03-07 15:00:00,178.1999969,1.0
2020-03-07 16:00:00,146.3000031,1.0
2020-03-07 17:00:00,132.3000031,1.0
2020-03-07 18:00:00,0.0,0.0
2020-03-07 19:00:00,0.0,0.0
2020-03-07 20:00:00,0.0,0.0
2020-03-07 21:00:00,0.0,0.0
2020-03-07 22:00:00,0.0,0.0
2020-03-07 23:00:00,0.0,0.0
2020-03-08 00:00:00,0.0,0.0
2020-03-08 01:00:00,0.0,0.0
2020-03-08 02:00:00,0.0,0.0
2020-03-08 03:00:00,0.0,0.0
2020-03-08 04:00:00,0.0,0.0
2020-03-08 05:00:00,0.0,0.0
2020-03-08 06:00:00,0.0,0.0
2020-03-08 07:00:00,0.0,0.0
2020-03-08 08:00:00,240.4000092,1.0
2020-03-08 09:00:00,450.8000183,1.0
2020-03-08 10:00:00,613.5,1.0
2020-03-08 11:00:00,718.1000366,1.0
2020-03-08 12:00:00,763.0,1.0
2020-03-08 13:00:00,771.2000122,1.0
2020-03-08 14:00:00,756.5,1.0
2020-03-08 15:00:00,666.9000244,1.0
2020-03-08 16:00:00,520.7000122,1.0
2020-03-08 17:00:00,351.3000183,1.0
2020-03-08 18:00:00,0.0,0.0
2020-03-08 19:00:00,0.0,0.0
2020-03-08 20:00:00,0.0,0.0
2020-03-08 21:00:00,0.0,0.0
2020-03-08 22:00:00,0.0,0.0
2020-03-08 23:00:00,0.0,0.0
2020-03-09 00:00:00,0.0,0.0
2020-03-09 01:00:00,0.0,0.0
2020-03-09 02:00:00,0.0,0.0
2020-03-09 03:00:00,0.0,0.0
2020-03-09 04:00:00,0.0,0.0
2020-03-09 05:00:00,0.0,0.0
2020-03-09 06:00:00,0.0,0.0
2020-03-09 07:00:00,0.0,0.0
2020-03-09 08:00:00,44.10000229,1.0
2020-03-09 09:00:00,261.0,1.0
2020-03-09 10:00:00,114.5999985,1.0
2020-03-09 11:00:00,158.1999969,1.0
2020-03-09 12:00:00,197.1999969,1.0
2020-03-09 13:00:00,158.3000031,1.0
2020-03-09 14:00:00,112.7000046,1.0
2020-03-09 15:00:00,212.6999969,1.0
2020-03-09 16:00:00,113.0,1.0
2020-03-09 17:00:00,0.0,1.0
2020-03-09 18:00:00,0.0,0.0
2020-03-09 19:00:00,0.0,0.0
2020-03-09 20:00:00,0.0,0.0
