°Å·¡ÀÏ,°Å·¡½Ã°£,À°ÁöÅÂ¾ç±¤ ÃÑ¹ßÀü·®,À°ÁöÇ³·Â ÃÑ¹ßÀü·®,Á¦ÁÖÅÂ¾ç±¤ ÃÑ¹ßÀü·®,Á¦ÁÖÇ³·Â ÃÑ¹ßÀü·®
2014-01-01,00,0,250.21416,0,37.235992
2014-01-01,01,0,230.334882,0,40.03472
2014-01-01,02,0,224.563859,0,36.944184
2014-01-01,03,0,223.51952,0,30.664892
2014-01-01,04,0,216.955896,0,24.566528
2014-01-01,05,0,212.167407,0,24.76738
2014-01-01,06,0.086026,210.472698,0,30.02558
2014-01-01,07,0.749713,219.512286,0.011674,31.017668
2014-01-01,08,49.237946,250.111282,0.955419,29.31612
2014-01-01,09,195.689218,271.716285,3.220711,31.56256
2014-01-01,10,325.777866,278.854173,5.683003,41.361512
2014-01-01,11,387.39988,306.136474,7.085325,42.281868
2014-01-01,12,396.983184,305.850811,7.310385,39.991248
2014-01-01,13,372.997867,307.978868,6.836908,35.9192
2014-01-01,14,312.318952,298.664692,5.566155,30.836888
2014-01-01,15,206.934999,303.56796,3.245684,32.527492
2014-01-01,16,61.528833,285.465707,1.085429,21.619236
2014-01-01,17,2.169653,253.955533,0.047339,9.862708
2014-01-01,18,0.058358,228.873768,0,8.080536
2014-01-01,19,0.045293,217.608349,0,8.960152
2014-01-01,20,0,239.972452,0,11.587864
2014-01-01,21,0,243.030124,0,15.428684
2014-01-01,22,0,251.953585,0,14.01392
2014-01-01,23,0,258.791954,0,14.285844
2014-01-02,00,0,262.877365,0,14.655656
2014-01-02,01,0,252.47417,0,12.768852
2014-01-02,02,0,224.661146,0,11.375344
2014-01-02,03,0,203.798341,0,12.274984
2014-01-02,04,0,196.862214,0,11.045836
2014-01-02,05,0,164.576485,0,7.527816
2014-01-02,06,0.076224,123.58659,0,12.5046
2014-01-02,07,0.790553,116.646616,0.005219,12.788952
2014-01-02,08,47.442025,120.093005,0.719252,4.949812
2014-01-02,09,188.712559,82.581682,2.858317,2.02142
2014-01-02,10,290.695191,68.775937,5.183488,1.124488
2014-01-02,11,341.829676,80.569961,6.471106,2.110576
2014-01-02,12,387.608678,73.7619,6.731969,3.380852
2014-01-02,13,420.626661,69.378577,6.3996,5.424916
2014-01-02,14,378.420425,67.484216,5.60707,4.729204
2014-01-02,15,263.995461,51.408465,3.523685,4.132972
2014-01-02,16,80.677148,33.740837,1.271679,5.1667
2014-01-02,17,2.996206,50.043571,0.05378,3.517312
2014-01-02,18,0.037498,56.960781,0,2.420628
2014-01-02,19,0.037901,69.719053,0,1.2906
2014-01-02,20,0,99.394241,0,0.517432
2014-01-02,21,0,109.183249,0,0
2014-01-02,22,0,120.494452,0,1.29084
2014-01-02,23,0,167.416537,0,2.41896
2014-01-03,00,0,212.878361,0,1.67046
2014-01-03,01,0,218.786021,0,1.60956
2014-01-03,02,0,217.313941,0,1.62102
2014-01-03,03,0,199.363159,0,3.434784
2014-01-03,04,0,197.803848,0,1.13868
2014-01-03,05,0,181.121591,0,0.52788
2014-01-03,06,0.077789,170.982752,0,0.28806
2014-01-03,07,1.147238,171.414436,0.005218,0.53748
2014-01-03,08,39.493074,172.808037,0.526153,0.08454
2014-01-03,09,112.944004,121.209791,2.151332,0.00306
2014-01-03,10,198.602023,103.891472,3.386804,0.00234
2014-01-03,11,264.654674,126.214506,3.852587,0
2014-01-03,12,307.877662,140.696042,4.05903,0.000384
2014-01-03,13,295.475352,139.980297,3.396007,0.004312
2014-01-03,14,247.444017,117.967604,2.805011,0.04896
2014-01-03,15,157.097052,117.767207,1.916001,0.223068
2014-01-03,16,52.062518,106.166711,0.711865,0.284372
2014-01-03,17,1.79477,94.272771,0.028916,1.520908
2014-01-03,18,0.048874,106.031294,0,1.008448
2014-01-03,19,0.050525,143.038043,0,3.08136
2014-01-03,20,0,182.725967,0,6.951532
2014-01-03,21,0,153.878928,0,9.039824
2014-01-03,22,0,159.66391,0,14.490984
2014-01-03,23,0,127.837768,0,22.54646
2014-01-04,00,0,121.779994,0,18.046868
2014-01-04,01,0,85.056865,0,20.134816
2014-01-04,02,0,68.255289,0,30.595056
2014-01-04,03,0,56.73907,0,40.878076
2014-01-04,04,0,53.902774,0,55.760196
2014-01-04,05,0,70.070426,0,53.783348
2014-01-04,06,0.074554,58.576804,0,40.120276
2014-01-04,07,0.761965,45.022572,0.001648,38.970032
2014-01-04,08,50.774962,41.17714,0.540393,48.643152
2014-01-04,09,207.781154,24.333581,2.686755,65.449176
2014-01-04,10,351.674366,16.438494,5.535862,70.503172
2014-01-04,11,420.719415,34.971085,7.859981,68.008084
2014-01-04,12,440.970084,50.182424,8.391329,64.988872
2014-01-04,13,423.42396,49.933764,8.236687,70.74732
2014-01-04,14,359.498493,47.727187,7.25257,80.240896
2014-01-04,15,243.242709,47.216051,4.679442,82.024564
2014-01-04,16,80.435105,52.818318,1.844779,78.179272
2014-01-04,17,3.470115,56.780534,0.070967,70.352788
2014-01-04,18,0.03935,55.535262,0,68.190628
2014-01-04,19,0.040579,50.021847,0,68.841768
2014-01-04,20,0,45.712453,0,54.291044
2014-01-04,21,0,39.548619,0,57.971904
2014-01-04,22,0,42.185737,0,49.715904
2014-01-04,23,0,38.042238,0,45.137204
2014-01-05,00,0,28.331095,0,51.286108
2014-01-05,01,0,24.979353,0,59.3735
2014-01-05,02,0,20.289239,0,57.750356
